order_id,customer_id,amount_usd,order_status,created_at
ORD-3001,501,199.00,completed,2024-08-01 09:15:22
ORD-3002,502,45.50,pending,2024-08-01 14:30:11
ORD-3003,503,129.99,completed,2024-08-02 10:05:33
ORD-3004,508,-87.50,refund,2024-08-03 08:42:18
ORD-3005,504,62.00,completed,2024-08-04 11:55:02
ORD-3006,509,-149.00,refund,2024-08-04 16:20:45
3007,505,75.00,completed,2024-08-05 09:30:00
ORD-3008,501,349.00,completed,2024-08-06 13:12:37
ORD-3009,508,-199.00,refund,2024-08-07 10:22:08
ORD-3010,506,52.00,pending,2024-08-07 17:45:19
ORD-3011,509,-34.99,refund,2024-08-08 08:05:44
ord-3012,503,95.00,completed,2024-08-08 15:38:56
ORD-3013,507,42.00,cancelled,2024-08-09 09:10:30
3014,501,249.00,processing,2024-08-10 14:55:12
ORD-3015,508,-275.00,refund,2024-08-11 11:20:15
ORD-3016,504,68.00,completed,2024-08-12 16:42:33
3017,502,39.99,pending,2024-08-12 19:08:47
ord-3018,509,-55.00,cancelled,2024-08-13 07:30:22
ORD-3019,501,499.00,completed,2024-08-14 14:15:09
ord-3020,506,29.99,completed,2024-08-15 10:35:41
